timestamp,source_ip,method,url,status_code,response_size,user_agent,is_attack_label
2025-11-21 07:02:03.880190,192.168.1.16,POST,/login,200,3663,Chrome/90.0,0
2025-11-20 10:59:03.880190,192.168.1.1,POST,/about,200,2083,Safari/537.36,0
2025-11-26 07:35:03.880190,10.0.0.3,POST,/contact,200,1432,Chrome/90.0,0
2025-11-24 11:51:03.880190,192.168.1.5,GET,/contact,200,1250,Chrome/90.0,0
2025-11-21 11:30:03.880190,10.0.0.3,POST,/contact,301,3901,Safari/537.36,0
2025-11-25 22:46:03.880190,192.168.1.18,POST,/login,200,1901,Chrome/90.0,0
2025-11-21 15:50:03.880190,10.0.0.1,POST,/contact,200,3831,Mozilla/5.0,0
2025-11-23 17:14:03.880190,10.0.0.2,GET,/api/data,200,1640,Chrome/90.0,0
2025-11-22 02:34:03.880190,192.168.1.1,GET,/login,301,4086,Chrome/90.0,0
2025-11-24 06:44:03.880190,192.168.1.5,POST,/home,404,1969,Chrome/90.0,0
2025-11-26 14:45:03.880190,192.168.1.1,POST,/home,200,933,Chrome/90.0,0
2025-11-22 22:14:03.880190,192.168.1.19,GET,/api/data,301,1370,Safari/537.36,0
2025-11-24 00:39:03.880190,192.168.1.3,GET,/home,404,3716,Mozilla/5.0,0
2025-11-20 12:23:03.880190,192.168.1.12,GET,/home,200,2150,Mozilla/5.0,0
2025-11-25 14:31:03.880190,192.168.1.17,GET,/about,200,2554,Safari/537.36,0
2025-11-23 00:32:03.880190,192.168.1.12,POST,/about,200,2288,Safari/537.36,0
2025-11-21 11:56:03.880190,192.168.1.9,GET,/about,301,774,Safari/537.36,0
2025-11-21 06:21:03.880190,192.168.1.16,GET,/contact,200,4257,Chrome/90.0,0
2025-11-23 13:16:03.880190,192.168.1.17,GET,/home,200,2336,Safari/537.36,0
2025-11-25 03:55:03.880190,10.0.0.3,GET,/login,200,1926,Mozilla/5.0,0
2025-11-23 11:53:03.880190,10.0.0.3,GET,/contact,200,1510,Chrome/90.0,0
2025-11-24 17:44:03.880190,10.0.0.3,POST,/api/data,200,1487,Chrome/90.0,0
2025-11-21 13:50:03.880190,10.0.0.2,PUT,/login,301,1673,Safari/537.36,0
